[DEBUG] 2020-05-05 18:46:21.962 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-05 18:46:21.967 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-05 18:46:21.977 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-05 18:46:22.052 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-05 18:46:22.057 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-05 18:46:22.221 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-05 18:46:22.221 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-05 18:46:22.225 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-05 18:46:22.502 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-05 18:46:22.525 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-05 18:46:22.526 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-05 18:46:22.542 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-05 18:46:22.571 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@11ebb1b6
[DEBUG] 2020-05-05 18:46:22.572 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@11ebb1b6
[DEBUG] 2020-05-05 18:46:22.572 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@11ebb1b6
[DEBUG] 2020-05-05 18:46:22.572 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6009bea
[DEBUG] 2020-05-05 18:46:22.573 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6ab4ba9f
[DEBUG] 2020-05-05 18:46:22.573 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@cb03411
[DEBUG] 2020-05-05 18:46:22.574 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@36fcf6c0
[DEBUG] 2020-05-05 18:46:22.575 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@36fcf6c0
[DEBUG] 2020-05-05 18:46:22.575 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@36fcf6c0
[DEBUG] 2020-05-05 18:46:22.576 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@713064e8
[DEBUG] 2020-05-05 18:46:22.576 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@713064e8
[DEBUG] 2020-05-05 18:46:22.576 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@713064e8
[DEBUG] 2020-05-05 18:46:22.578 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5ae95707
[DEBUG] 2020-05-05 18:46:22.578 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5ae95707
[DEBUG] 2020-05-05 18:46:22.578 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5ae95707
[DEBUG] 2020-05-05 18:46:22.579 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@30e6a763
[DEBUG] 2020-05-05 18:46:22.579 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@30e6a763
[DEBUG] 2020-05-05 18:46:22.579 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@30e6a763
[DEBUG] 2020-05-05 18:46:22.580 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@9d7ccfe
[DEBUG] 2020-05-05 18:46:22.581 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@9d7ccfe
[DEBUG] 2020-05-05 18:46:22.581 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@9d7ccfe
[DEBUG] 2020-05-05 18:46:22.582 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3effd4f3
[DEBUG] 2020-05-05 18:46:22.582 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@3effd4f3
[DEBUG] 2020-05-05 18:46:22.582 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@3effd4f3
[DEBUG] 2020-05-05 18:46:22.583 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@eb507b9
[DEBUG] 2020-05-05 18:46:22.584 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@eb507b9
[DEBUG] 2020-05-05 18:46:22.584 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@eb507b9
[DEBUG] 2020-05-05 18:46:22.586 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7aa9e414
[DEBUG] 2020-05-05 18:46:22.586 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7aa9e414
[DEBUG] 2020-05-05 18:46:22.587 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7afbf561
[DEBUG] 2020-05-05 18:46:22.587 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7afbf561
[DEBUG] 2020-05-05 18:46:22.588 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@771cbb1a
[DEBUG] 2020-05-05 18:46:22.588 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@771cbb1a
[DEBUG] 2020-05-05 18:46:22.589 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@3659d7b1
[DEBUG] 2020-05-05 18:46:22.589 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1c758545
[DEBUG] 2020-05-05 18:46:22.590 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@2324bfe7
[DEBUG] 2020-05-05 18:46:22.590 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@2324bfe7
[DEBUG] 2020-05-05 18:46:22.591 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3b2f4a93
[DEBUG] 2020-05-05 18:46:22.592 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3b2f4a93
[DEBUG] 2020-05-05 18:46:22.597 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@263bbfeb
[DEBUG] 2020-05-05 18:46:22.597 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@263bbfeb
[DEBUG] 2020-05-05 18:46:22.599 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@73545b80
[DEBUG] 2020-05-05 18:46:22.600 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@73545b80
[DEBUG] 2020-05-05 18:46:22.601 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@2e3f79a2
[DEBUG] 2020-05-05 18:46:22.602 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@2e3f79a2
[DEBUG] 2020-05-05 18:46:22.603 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@68b58644
[DEBUG] 2020-05-05 18:46:22.603 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@68b58644
[DEBUG] 2020-05-05 18:46:22.604 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58516c91
[DEBUG] 2020-05-05 18:46:22.605 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@58516c91
[DEBUG] 2020-05-05 18:46:22.606 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@25e49cb2
[DEBUG] 2020-05-05 18:46:22.606 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@25e49cb2
[DEBUG] 2020-05-05 18:46:22.608 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@633a2e99
[DEBUG] 2020-05-05 18:46:22.608 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@633a2e99
[DEBUG] 2020-05-05 18:46:22.609 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@3d7b1f1c
