[DEBUG] 2020-02-24 03:36:47.917 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-24 03:36:47.923 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-24 03:36:47.933 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-24 03:36:48.011 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-24 03:36:48.013 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-24 03:36:48.194 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-02-24 03:36:48.195 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-02-24 03:36:48.199 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-24 03:36:48.484 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-24 03:36:48.505 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-24 03:36:48.505 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-24 03:36:48.522 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-24 03:36:48.549 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6107165
[DEBUG] 2020-02-24 03:36:48.549 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6107165
[DEBUG] 2020-02-24 03:36:48.549 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6107165
[DEBUG] 2020-02-24 03:36:48.550 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@f3021cb
[DEBUG] 2020-02-24 03:36:48.550 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@75769ab0
[DEBUG] 2020-02-24 03:36:48.551 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@664e5dee
[DEBUG] 2020-02-24 03:36:48.552 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@56078cea
[DEBUG] 2020-02-24 03:36:48.553 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@56078cea
[DEBUG] 2020-02-24 03:36:48.553 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@56078cea
[DEBUG] 2020-02-24 03:36:48.554 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@62a4417
[DEBUG] 2020-02-24 03:36:48.554 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@62a4417
[DEBUG] 2020-02-24 03:36:48.554 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@62a4417
[DEBUG] 2020-02-24 03:36:48.555 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3e5d4f6b
[DEBUG] 2020-02-24 03:36:48.555 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3e5d4f6b
[DEBUG] 2020-02-24 03:36:48.555 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3e5d4f6b
[DEBUG] 2020-02-24 03:36:48.557 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3ae0b770
[DEBUG] 2020-02-24 03:36:48.557 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3ae0b770
[DEBUG] 2020-02-24 03:36:48.557 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3ae0b770
[DEBUG] 2020-02-24 03:36:48.558 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@36ddaebf
[DEBUG] 2020-02-24 03:36:48.558 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@36ddaebf
[DEBUG] 2020-02-24 03:36:48.558 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@36ddaebf
[DEBUG] 2020-02-24 03:36:48.559 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4bbb49b0
[DEBUG] 2020-02-24 03:36:48.560 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4bbb49b0
[DEBUG] 2020-02-24 03:36:48.560 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4bbb49b0
[DEBUG] 2020-02-24 03:36:48.561 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6f4ade6e
[DEBUG] 2020-02-24 03:36:48.561 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6f4ade6e
[DEBUG] 2020-02-24 03:36:48.561 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6f4ade6e
[DEBUG] 2020-02-24 03:36:48.562 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@440eaa07
[DEBUG] 2020-02-24 03:36:48.562 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@440eaa07
[DEBUG] 2020-02-24 03:36:48.563 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4f453e63
[DEBUG] 2020-02-24 03:36:48.563 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4f453e63
[DEBUG] 2020-02-24 03:36:48.564 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@221dad51
[DEBUG] 2020-02-24 03:36:48.564 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@221dad51
[DEBUG] 2020-02-24 03:36:48.565 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@6b2e0f78
[DEBUG] 2020-02-24 03:36:48.566 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@3bdb2c78
[DEBUG] 2020-02-24 03:36:48.566 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@21d1b321
[DEBUG] 2020-02-24 03:36:48.567 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@21d1b321
[DEBUG] 2020-02-24 03:36:48.568 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@3ffb3598
[DEBUG] 2020-02-24 03:36:48.568 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@3ffb3598
[DEBUG] 2020-02-24 03:36:48.573 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@47447ccf
[DEBUG] 2020-02-24 03:36:48.573 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@47447ccf
